Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,CumulativeORB,CumulativeDRB,CumulativeAST,CumulativeSTL,CumulativeBLK,CumulativeDWS,Last2DWS
Kemba Walker,0.218339152,-1.754462743,0.40023361,0.659563442,1.001824735,-0.122474851,0.405980023,1.552060938,1.223474282,0.110148445,0.594158684,0.927484366
Kendrick Perkins,1.656182351,0.91513304,2.01311532,1.493754749,0.940879257,1.722324407,1.516916131,0.011426296,-0.016228919,2.609493848,1.626213934,-0.941694498
Kenneth Faried,0.457979686,0.321889533,0.40023361,0.395456542,0.295611162,1.837624361,0.836042662,-0.266669366,0.186579669,0.713683556,0.338350117,-0.351427488
Kent Bazemore,0.457979686,-0.567975728,0.169821937,0.314936146,0.016748953,-0.420790604,-0.000701945,-0.023814477,0.377962422,0.060445554,0.267782237,1.222617871
Kentavious Caldwell-Pope,-0.500582447,-0.567975728,-0.060589736,0.224753302,0.394673742,-0.173719275,-0.019123079,-0.108085889,0.583627469,-0.330077166,0.170751401,1.419373541
Kevin Durant,0.697620219,0.618511286,1.321880301,1.458325774,2.138950058,0.402780493,2.710038838,1.709112206,1.774770867,2.446184347,2.570059335,2.255585138
Kevin Love,0.697620219,0.91513304,1.091468629,1.020294818,1.282571856,2.783816044,2.96651771,0.515522563,0.509359535,0.461618892,1.317479458,0.829106531
Kevon Looney,-1.219504046,0.618511286,-0.521413082,-0.625542084,-0.711978842,-0.426281078,-0.614975928,-0.557022687,-0.627511143,-0.337177579,-0.570211343,-0.105482901
Khem Birch,-0.260941914,0.618511286,-0.982236428,-0.889648984,-0.795752694,-0.537920715,-0.691494486,-0.585368526,-0.724630748,-0.521788319,-0.702526119,-0.548183158
Khris Middleton,-0.021301381,0.321889533,0.169821937,0.192545143,0.404098301,-0.27803828,0.18634342,0.259643911,0.69217291,-0.30522572,0.091362536,0.435595191
Klay Thompson,0.218339152,0.025267779,0.40023361,0.704654864,0.995960565,-0.234114488,0.360635692,0.330891559,0.595053305,0.415466207,0.700010504,1.173428953
Kobi Simmons,-1.45914458,-0.567975728,-0.982236428,-0.921857142,-0.788946068,-0.640409563,-0.743923869,-0.559320998,-0.716061371,-0.578591623,-0.737810059,-0.941694498
Kosta Koufos,0.457979686,1.508376547,1.091468629,1.049282161,0.271421463,1.431329286,0.738977453,-0.363964542,0.020905048,1.136158134,0.461843908,0.288028439
Kris Dunn,-0.74022298,-0.864597482,-0.751824755,-0.606217189,-0.556997216,-0.578184191,-0.529246802,-0.229896386,-0.247602097,-0.372679644,-0.473180507,0.435595191
Kristaps Porzingis,-0.979863513,2.398241808,-0.521413082,-0.425851501,-0.252688699,-0.107833587,-0.052422822,-0.421422323,-0.37899921,0.745635415,-0.155625045,0.779917614
Kyle Anderson,-0.500582447,0.618511286,-0.291001409,-0.197173575,-0.374474936,-0.39699855,-0.221755558,-0.271265988,-0.079071017,-0.163217458,0.056078596,1.714507046
Kyle Collinsworth,-0.021301381,-0.271353975,-0.982236428,-0.921857142,-0.806014991,-0.607466719,-0.716292167,-0.568514243,-0.71891783,-0.564390797,-0.711347104,-0.646560993
Kyle Korver,2.375103951,0.025267779,2.243526993,2.530857454,2.16889921,-0.078551059,1.383008654,0.893977816,1.383435986,0.749185622,1.679139845,-0.203860736
Kyle Kuzma,-0.979863513,0.618511286,-0.982236428,-0.776920429,-0.604853029,-0.504977872,-0.489570513,-0.503395425,-0.627511143,-0.475635634,-0.552569373,1.124240036
Kyle Lowry,1.176901285,-2.051084496,1.552291974,1.522742091,1.716415692,0.547362975,1.128655297,2.958627423,2.27465119,0.149200717,1.414510293,1.517751376
Kyle O'Quinn,0.218339152,0.91513304,0.169821937,0.25696146,-0.224833893,0.368007492,0.198388008,-0.200784443,-0.273310228,0.837940785,0.029615641,0.779917614
Kyle Singler,0.697620219,0.321889533,0.169821937,0.121687195,-0.040112549,-0.085871691,-0.267099889,-0.403035833,-0.187616458,-0.205819937,-0.384970657,-0.990883415
Kyrie Irving,-0.260941914,-1.161219235,0.40023361,0.395456542,0.709768143,-0.091362165,0.082901665,1.242555022,0.857847532,-0.088663121,0.276603222,0.927484366
LaMarcus Aldridge,1.416541818,1.211754794,1.552291974,1.773965728,2.29330338,3.598236351,2.69799425,0.66184838,1.100646546,2.659196739,2.481849484,2.40315189
Lance Stephenson,0.218339152,-0.567975728,0.630645283,0.392235726,0.268698813,-0.116984377,0.370554765,0.396776482,0.066608392,-0.365579231,0.505948833,-0.056293983
Lance Thomas,0.697620219,0.321889533,0.40023361,0.089479036,-0.181690359,-0.171889117,-0.329448344,-0.43291388,-0.393281505,-0.425932742,-0.534927403,-0.646560993
Langston Galloway,-0.021301381,-1.457840989,-0.291001409,-0.190731943,-0.243892444,-0.446412816,-0.340075922,-0.222235348,-0.167621245,-0.436583362,-0.367328687,-0.154671818
Larry Drew,0.218339152,-1.457840989,1.552291974,1.345597219,1.097641078,-0.184700223,-0.046754781,2.266835737,1.509120181,-0.436583362,0.329529132,-1.08926125
Larry Nance,-0.260941914,0.91513304,2.473938666,2.556623981,2.790605909,4.240621807,3.342733956,1.391945254,2.363201419,6.95494665,3.5932936,0.730728696
Lauri Markkanen,-1.45914458,1.508376547,-0.982236428,-0.805907772,-0.644750326,-0.521449293,-0.465481337,-0.550893857,-0.656075732,-0.454334394,-0.614316268,0.435595191
LeBron James,1.656182351,0.321889533,2.243526993,2.656469272,3.782488316,1.870567205,4.21065279,5.67676353,4.559818382,2.55624075,4.942904313,1.81288488
London Perrantes,-0.74022298,-1.457840989,-0.982236428,-0.979831828,-0.849367959,-0.664201617,-0.76730454,-0.607585535,-0.761764715,-0.592792449,-0.755452029,-1.138450168
Lonzo Ball,-1.45914458,-0.271353975,-0.982236428,-0.857440825,-0.669882481,-0.539750873,-0.563255051,-0.323361043,-0.516109242,-0.443683775,-0.534927403,1.320995706
Lorenzo Brown,0.218339152,-0.567975728,-0.291001409,-0.776920429,-0.754389355,-0.623938141,-0.700705054,-0.492669972,-0.627511143,-0.560840591,-0.702526119,-1.040072333
Lou Williams,1.176901285,-1.754462743,1.782703647,1.748199201,1.345402245,-0.074890743,0.302538268,1.450935243,1.451991002,-0.02830961,0.532411788,-0.056293983
Luc Mbah a Moute,1.176901285,0.321889533,1.091468629,1.171673163,0.814171306,1.089089741,0.528551418,-0.162479256,0.972105891,0.333811457,0.955819071,0.779917614
Lucas Nogueira,-0.260941914,1.508376547,-0.291001409,-0.570788214,-0.672605132,-0.446412816,-0.579550669,-0.556256583,-0.513252783,-0.085112915,-0.446717552,0.337217356
Luis Montero,-0.500582447,0.025267779,-0.751824755,-0.979831828,-0.851043436,-0.666031775,-0.765179024,-0.61064995,-0.767477633,-0.596342656,-0.755452029,-1.138450168
Luke Babbitt,0.457979686,0.618511286,0.630645283,0.202207591,-0.297926579,-0.462884238,-0.248678755,-0.439808813,-0.513252783,-0.390430677,-0.473180507,-0.449805323
Luke Kennard,-1.219504046,-0.271353975,-0.982236428,-0.789803692,-0.70307787,-0.627598457,-0.659611754,-0.516419188,-0.641793437,-0.550189971,-0.631958238,0.238839521
Luke Kornet,-0.979863513,1.804998301,-0.982236428,-0.960506933,-0.822141457,-0.645900037,-0.731879281,-0.591497356,-0.750338879,-0.539539351,-0.728989074,-0.843316663
Luol Deng,1.416541818,0.618511286,2.01311532,1.809394702,2.342729952,1.973056052,2.031290885,0.939177937,1.703359393,0.951547395,2.66709017,-0.744938828
Malachi Richardson,-0.979863513,-0.271353975,-0.751824755,-0.870324089,-0.801616864,-0.651390511,-0.734713302,-0.593029564,-0.724630748,-0.589242243,-0.737810059,-1.040072333
Malcolm Brogdon,-0.260941914,-0.567975728,-0.751824755,-0.6287629,-0.498355519,-0.537920715,-0.557587009,-0.252113395,-0.410420259,-0.507587493,-0.561390358,-0.056293983
Malcolm Delaney,0.457979686,-1.161219235,-0.751824755,-0.615879636,-0.619408736,-0.631258773,-0.624895,-0.338683118,-0.556099668,-0.57149121,-0.587853313,-0.203860736
Malcolm Miller,-0.500582447,0.025267779,-0.982236428,-0.976611012,-0.84308492,-0.658711143,-0.761636498,-0.609117742,-0.764621174,-0.589242243,-0.746631044,-1.040072333
Malik Beasley,-1.219504046,-0.567975728,-0.751824755,-0.754374718,-0.77795075,-0.631258773,-0.720543198,-0.579239696,-0.704635535,-0.57149121,-0.720168089,-0.941694498
Malik Monk,-1.698785113,-1.161219235,-0.982236428,-0.822011851,-0.766850715,-0.651390511,-0.728336755,-0.541700612,-0.710348453,-0.564390797,-0.711347104,-0.646560993
Mangok Mathiang,-0.260941914,0.91513304,-0.982236428,-1.012039986,-0.854184956,-0.660541301,-0.764470519,-0.611416054,-0.764621174,-0.596342656,-0.755452029,-1.138450168
Manu Ginobili,3.333666083,-0.271353975,2.473938666,2.379479109,1.95632306,0.587626451,1.364587519,2.453765052,3.20871328,0.53617323,3.443336855,0.829106531
Marc Gasol,1.656182351,1.804998301,1.091468629,1.281180902,1.67044479,1.643627613,2.224004291,1.220338014,1.083507792,3.209478753,2.270145843,1.862073798
Marcin Gortat,1.656182351,1.211754794,1.321880301,1.419675984,1.231783958,2.430595551,2.386251975,0.039772134,0.309407406,2.460385173,1.74088674,1.468562458
Marco Belinelli,1.176901285,-0.567975728,1.321880301,1.306947429,0.908207455,-0.365885864,0.157294708,0.329359352,0.492220781,-0.39753109,0.214856327,0.091272769
Marcus Georges-Hunt,-0.74022298,-0.567975728,-0.751824755,-0.873544905,-0.827796192,-0.651390511,-0.757385467,-0.603755016,-0.74748242,-0.596342656,-0.755452029,-1.138450168
Marcus Morris,0.457979686,0.618511286,0.40023361,0.488860202,0.438340863,0.163029796,0.366303734,-0.060587457,0.192292587,-0.184518698,0.303066177,1.124240036
Marcus Paige,-0.500582447,-1.754462743,-0.982236428,-1.00881917,-0.853347217,-0.666031775,-0.766596035,-0.609117742,-0.767477633,-0.596342656,-0.755452029,-1.138450168
Marcus Smart,-0.74022298,-0.864597482,-0.291001409,-0.184290312,-0.072156048,-0.193851013,-0.264265868,0.166945357,0.335115537,-0.266173448,0.109004506,1.419373541
Mario Chalmers,1.176901285,-1.457840989,0.861056956,1.055723792,0.949570794,-0.279868438,0.204056049,1.236426192,1.946158407,-0.230671383,1.044028921,0.238839521
Mario Hezonja,-0.979863513,0.321889533,-0.521413082,-0.319564578,-0.434268523,-0.503147714,-0.405258397,-0.399205315,-0.339008785,-0.372679644,-0.437896567,0.140461687
