Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,CumulativeORB,CumulativeDRB,CumulativeAST,CumulativeSTL,CumulativeBLK,CumulativeDWS,Last2DWS,DWS_Next
Aaron Williams,0.124038336,0.543397685,-0.066186987,-0.645742612,-0.792382897,-0.523122177,-0.630852702,-0.656142855,-0.728159833,-0.316842272,-0.661425417,-0.661262472,1.6
Aaron Williams,0.371743566,0.543397685,0.192594674,-0.354370308,-0.620637769,-0.263031842,-0.450206286,-0.61048508,-0.612958903,-0.049234913,-0.524897674,-0.40961127,2.3
Aaron Williams,0.619448796,0.543397685,0.451376334,-0.059400816,-0.360963582,0.082119484,-0.17634632,-0.541211216,-0.447181955,0.279456736,-0.328639042,0.387284203,2.5
Aaron Williams,0.867154025,0.543397685,0.710157995,0.235568677,-0.189107293,0.270235136,-0.014487131,-0.480596584,-0.36569837,0.500523685,-0.115314442,0.764761006,2.4
Aaron Williams,1.114859255,0.543397685,0.968939656,0.526940981,-0.011581746,0.494338129,0.125694487,-0.41132272,-0.289834343,0.666323897,0.089477174,0.806702873,2.3
Aaron Williams,1.362564485,0.543397685,1.227721317,0.785938584,0.137041707,0.659552745,0.26515352,-0.347559276,-0.194301864,0.800127577,0.285735806,0.722819139,0.3
Aaron Williams,1.610269715,0.543397685,1.486502977,0.937020519,0.172057704,0.687361146,0.296224703,-0.341261652,-0.18025297,0.823397783,0.311334758,-0.157960068,0.8
Aaron Williams,1.857974945,0.543397685,1.745284638,1.109685588,0.259986763,0.792051595,0.380767226,-0.327879201,-0.132486731,0.884482071,0.37959863,-0.787088073,0.4
Aaron Williams,2.105680175,0.543397685,2.004066299,1.246378767,0.301561312,0.836217879,0.422677194,-0.32236878,-0.11281828,0.92520493,0.413730566,-0.745146206,0.4
Abdul Jeelani,-0.371372124,0.274496224,-1.10131363,-0.940712105,-0.856412148,-0.614726321,-0.713227467,-0.622293126,-0.759067399,-0.482642485,-0.695557353,0.0098074,0.8
Acie Earl,-0.866782584,0.812299146,-1.10131363,-0.951503671,-0.871641328,-0.662164181,-0.708891953,-0.687630975,-0.80402386,-0.444828401,-0.746755257,-0.493495004,0.2
Acie Earl,-0.619077354,0.812299146,-0.842531969,-0.843588003,-0.848519654,-0.631084204,-0.690104726,-0.686056569,-0.787165187,-0.421558196,-0.729689289,-0.787088073,0.4
Acie Earl,-0.371372124,0.812299146,-0.583750309,-0.692506068,-0.775708612,-0.547659002,-0.633743044,-0.664802088,-0.736589169,-0.313933497,-0.695557353,-0.996797408,0.5
Acie Law,-0.866782584,-1.07001108,-1.10131363,-1.016253072,-0.903211306,-0.781576725,-0.793434476,-0.608123471,-0.789974966,-0.598993511,-0.789420177,-0.912913674,0.4
Acie Law,-0.371372124,-1.07001108,-0.583750309,-0.724880769,-0.814948761,-0.76685463,-0.745743822,-0.519956735,-0.728159833,-0.587358408,-0.738222273,-0.996797408,0.3
Adam Keefe,-1.114487814,0.543397685,-1.10131363,-0.92272616,-0.82717657,-0.521486389,-0.637355973,-0.634101171,-0.71130116,-0.5524531,-0.704090337,-0.074076334,1.1
