Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,Cumulative2P,Cumulative2PA,Cumulative3P,Cumulative3PA,CumulativeFT,CumulativeFTA,CumulativeORB,CumulativeAST,CumulativeTOV,CumulativeOWS,Last2OWS,OWS_Next
Larry Bird,0.867154025,0.543397685,0.710157995,1.066519321,1.713650864,2.809032304,2.710942234,0.641490769,0.61774809,2.078945849,1.713453605,1.585408909,2.373014317,2.322113557,2.957921761,4.02916516,11.2
Magic Johnson,0.867154025,0.543397685,1.486502977,1.64206955,2.26367992,2.564509209,2.27326742,0.200281293,0.370397439,3.435517658,3.050224294,1.580501544,6.334219849,3.997327984,4.815554319,5.204942435,11.2
David Robinson,0.619448796,1.619003528,0.192594674,0.490969091,1.022335039,1.889220039,1.714297777,-0.46482553,-0.461821746,2.68417039,2.775296385,1.82096242,0.460898212,1.365075657,2.456923889,4.988983343,11.1
Kevin Durant,-1.609898273,0.543397685,-0.842531969,-0.663728557,-0.370968153,-0.155018376,-0.13172718,-0.020323446,-0.032918154,0.052973977,-0.058051575,-0.560745308,-0.384557817,-0.193892902,-0.32389576,0.5738197,11.1
Anfernee Hardaway,-0.866782584,0.005594763,-0.842531969,-0.645742612,-0.341732574,-0.240538111,-0.297359544,-0.082882998,-0.031699678,-0.185956429,-0.193622087,-0.259760265,0.164909882,-0.045798851,0.036372373,2.109528793,11
Gilbert Arenas,-0.866782584,-1.07001108,-0.324968648,-0.268037774,0.041220154,-0.074566477,-0.018033071,1.039896342,1.046651682,0.456786109,0.406220625,-0.34972862,0.384539521,0.43988594,0.385382126,1.701606065,11
Kevin Durant,-0.123666894,0.543397685,0.710157995,0.829104851,1.405065443,1.849944309,1.767819516,2.61705559,2.51735235,3.320001718,2.776053762,-0.034021483,0.878903009,1.99726209,3.076134742,3.693228796,11
LeBron James,1.362564485,0.274496224,2.26284796,2.598921807,3.588507384,4.82666458,4.361248642,4.296285688,4.670399642,5.612548837,5.834342738,1.307324902,5.176244226,4.841304834,7.455644228,3.885192432,11
Shaquille O'Neal,0.124038336,1.619003528,0.710157995,0.703203238,1.240323515,2.887583765,2.361309098,-0.530677691,-0.542241169,2.077958533,3.309247283,2.735368066,0.428622889,1.552979937,2.727124988,3.76521516,11
Brandon Roy,-0.866782584,-0.263306698,-0.842531969,-0.746463902,-0.465011116,-0.370401413,-0.368299601,-0.112516471,-0.123085387,-0.302459685,-0.329192599,-0.573831614,-0.177523427,-0.520336778,-0.093098987,1.557633338,10.9
Isaiah Thomas,-0.123666894,-2.683419845,-0.066186987,0.095278308,0.183952027,0.054663346,0.07159209,1.510739291,1.52673127,0.730272565,0.547092776,-0.469141164,0.742716889,0.385744029,0.937042704,2.157519702,10.9
Kobe Bryant,-0.866782584,-0.263306698,0.192594674,0.271540566,0.492982095,0.825607923,0.865867367,0.430763855,0.57388295,1.232816271,1.071955149,0.021595318,0.545916137,0.751998134,1.212872993,3.573251523,10.9
Steve Nash,1.114859255,-1.07001108,1.227721317,1.311128168,1.342258973,0.742622106,0.719870197,2.485351269,2.090885711,0.924773764,0.664486236,-0.088002496,3.243660843,1.788656491,2.8284504,4.02916516,10.9
Amar'e Stoudemire,-0.619077354,0.812299146,-0.066186987,-0.131344594,0.137041707,0.521537753,0.42470889,-0.514214651,-0.520308599,0.877382609,0.953804312,0.595757002,-0.40345069,0.333194527,0.683729173,0.957746973,10.8
David Robinson,0.371743566,1.619003528,-0.066186987,0.199596787,0.680623374,1.393839054,1.249703745,-0.484581179,-0.486191268,2.036491273,2.133797929,1.438187964,0.275118303,0.994044325,1.854600604,4.02916516,10.8
Dirk Nowitzki,-0.866782584,1.350102067,-0.324968648,-0.185302428,0.102470358,0.054029866,0.034221881,0.848925076,0.794427126,0.483443634,0.364564881,-0.176335063,-0.21767078,-0.101533172,0.86386324,4.149142433,10.8
Karl Malone,2.105680175,0.543397685,2.26284796,2.775184064,3.631749362,5.876973626,5.481088108,-0.306780345,-0.249806902,6.636395246,6.997674058,4.045634474,2.215573715,4.608813098,5.440394362,3.621242432,10.8
Kevin McHale,0.371743566,0.812299146,0.192594674,0.490969091,0.551230928,1.088501924,0.880435415,-0.530677691,-0.54833355,0.706576988,0.722046901,1.111030309,-0.164928178,0.451032804,1.167839477,2.781401522,10.8
Kobe Bryant,0.124038336,-0.263306698,1.227721317,1.325516924,1.806248722,2.36432968,2.497805367,2.096823521,2.335799409,3.496731233,3.138837422,0.635015921,1.781037655,2.310966693,3.323819083,3.71722425,10.8
Reggie Miller,-0.866782584,0.005594763,-0.842531969,-0.656534179,-0.512921893,-0.501531674,-0.536782236,-0.010445622,-0.0560692,-0.348863524,-0.395841789,-0.526393754,-0.414471532,-0.533076052,-0.183166021,1.173706064,10.8
James Harden,-0.371372124,-0.532208158,0.192594674,0.408233746,0.625375912,0.253575915,0.246408658,2.376695204,2.346765694,1.945658226,1.654378186,-0.282661301,0.883626227,1.037039372,1.984071965,4.581060615,10.7
Tim Duncan,-0.619077354,1.081200606,-0.324968648,-0.18170524,0.247425469,0.702079416,0.641962813,-0.504336827,-0.495939077,0.636477571,0.800056748,0.75933583,-0.048422133,0.525876034,0.627437278,2.325487884,10.7
Kevin Love,-0.619077354,0.812299146,-0.066186987,-0.185302428,0.016208727,0.051495948,0.085526744,0.28918171,0.302162777,0.595997627,0.503164901,1.032512472,-0.258605336,-0.034651987,0.678099984,1.077724246,10.6
LeBron James,-1.114487814,0.274496224,-0.324968648,-0.080983949,0.452519165,0.84271187,0.845282083,0.773195091,0.916274738,1.11038912,1.183289592,-0.199236099,0.903306302,0.742443679,1.167839477,4.02916516,10.6
Chris Paul,-0.123666894,-1.876715462,0.451376334,0.526940981,0.995100375,0.901625466,0.891203102,0.974044181,0.982072448,1.423368206,1.184046969,-0.235223441,3.058668136,0.971750596,3.025472035,4.005169705,10.5
Dana Barros,-0.123666894,-2.145616923,-0.066186987,0.120458631,-0.168653504,-0.271578608,-0.27582417,0.812706387,0.689638181,-0.392305416,-0.432195893,-0.613090533,0.102720844,-0.192300493,0.042001562,0.669801518,10.5
Karl Malone,-0.371372124,0.543397685,-0.324968648,-0.048609249,0.296336703,0.986511721,0.912105083,-0.517507259,-0.52640098,0.971177603,1.214342055,0.814952631,-0.057868569,0.87142882,0.036372373,2.253501521,10.5
Larry Bird,0.124038336,0.543397685,-0.066186987,0.217582732,0.68217964,1.369766832,1.345029446,-0.109223863,-0.052413772,0.836902664,0.65009607,0.803502113,1.070980543,1.121437057,1.241018941,3.14133334,10.5
Dirk Nowitzki,-0.371372124,1.350102067,0.192594674,0.379456234,0.772998908,0.717916404,0.70530215,1.66219926,1.622990883,1.326611265,1.099978104,0.103384732,0.133421761,0.355488255,1.978442775,3.981174251,10.4
Gary Payton,0.867154025,-0.801109619,0.968939656,1.314725357,1.753557984,1.75618934,1.673760602,1.211111959,1.524294318,0.894166976,1.008335468,0.651373804,3.094092272,1.839613584,2.107914135,2.709415158,10.4
John Stockton,-0.123666894,-1.607814002,-0.066186987,0.25715181,0.256318421,0.113576941,0.013003204,-0.366047289,-0.321696993,0.361016483,0.268377981,-0.428246457,2.40528964,0.753590543,0.830088102,3.789210614,10.4
Karl Malone,0.371743566,0.543397685,0.451376334,0.83270204,1.349929143,2.593015787,2.393295463,-0.441777274,-0.436233748,2.998136791,3.233509567,1.948553906,0.522300047,2.138986504,1.742016813,3.981174251,10.4
Kiki Vandeweghe,-0.866782584,0.274496224,-0.842531969,-0.739269524,-0.537933319,-0.25510814,-0.304010175,-0.530677691,-0.538585741,-0.30838358,-0.367061457,-0.41679594,-0.428641186,-0.483711368,-0.160649262,1.269687883,10.4
Larry Bird,0.619448796,0.543397685,0.451376334,0.80032734,1.379609369,2.368130557,2.308104055,0.345156046,0.343590965,1.670197138,1.368846996,1.382571163,1.927457415,1.93993536,2.372486045,4.053160615,10.4
Michael Jordan,1.610269715,-0.263306698,1.745284638,1.832720564,2.636294592,5.206752292,4.912617565,1.194648919,1.318371855,5.374605747,4.805824554,1.516705801,3.02560561,2.906527715,6.982792304,5.828824254,10.4
Stephon Marbury,-0.123666894,-1.338912541,0.710157995,0.879465496,1.496218197,1.42487955,1.584135441,1.724758813,2.087230282,1.864698336,1.791463452,-0.066737249,3.105113114,2.092806639,1.860229794,2.709415158,10.4
Charles Barkley,-0.123666894,-0.263306698,0.192594674,0.465788769,0.932849713,1.433748264,0.980511566,-0.07959039,0.1632565,2.173728159,2.262552046,2.730460701,0.628572453,1.756808308,2.56950768,5.540878799,10.3
Dirk Nowitzki,-1.362193043,1.350102067,-0.842531969,-0.75365828,-0.566279602,-0.516735183,-0.524747762,-0.105931255,-0.107245197,-0.396254679,-0.433710647,-0.567288461,-0.500276659,-0.580848326,-0.290120622,0.717792427,10.3
Dirk Nowitzki,-1.114487814,1.350102067,-0.583750309,-0.458688787,-0.21889868,-0.238004193,-0.253338706,0.391252559,0.367960487,0.049024714,-0.026241734,-0.372629656,-0.364090539,-0.332432499,0.289685903,3.165328795,10.3
Dwyane Wade,-0.123666894,-0.801109619,-0.066186987,-0.084581138,0.320903482,0.753391258,0.747739505,-0.254098616,-0.160858146,1.421393575,1.386266671,-0.150162451,0.905667911,1.029077326,0.869492429,1.077724246,10.3
Kevin Garnett,-0.123666894,1.081200606,0.710157995,0.980186786,1.583035637,2.128675298,2.141204904,-0.115809079,-0.059724629,1.296004477,1.311286332,1.950189694,1.389010558,1.575273665,1.820825467,3.477269705,10.3
LeBron James,-0.371372124,0.274496224,0.451376334,0.753563883,1.458200829,2.095100884,2.002175061,2.004630496,2.293152745,2.824369223,2.929801325,0.307858266,2.302166046,1.947897406,3.290043945,5.708846981,10.3
Steve Nash,0.867154025,-1.07001108,0.968939656,1.026950242,1.031450314,0.494931613,0.493748766,1.991460064,1.67416688,0.671033622,0.453178009,-0.164884545,2.593431159,1.349151565,2.248643874,3.693228796,10.3
Vince Carter,-0.866782584,-0.263306698,-0.842531969,-0.742866713,-0.456229326,-0.201262381,-0.182715346,-0.158612983,-0.194975477,-0.147451116,-0.173930281,-0.402073845,-0.326304795,-0.463010049,0.0757767,2.277496975,10.3
Dwyane Wade,-0.866782584,-0.801109619,-0.842531969,-0.72128358,-0.432440681,-0.231035918,-0.227686274,-0.438484666,-0.443544604,0.02434182,0.019200895,-0.482227471,-0.071251021,-0.098348353,-0.138132504,1.365669701,10.2
Kevin Johnson,0.619448796,-1.607814002,0.968939656,0.972992408,1.335033449,1.581982471,1.540114602,-0.316658169,-0.20350481,2.513364769,2.222411057,-0.150162451,3.860040798,2.156503005,2.614541197,1.869574247,10.2
Shaquille O'Neal,0.619448796,1.619003528,1.227721317,1.210406878,1.834595005,3.853640035,3.199921911,-0.530677691,-0.538585741,2.963580741,4.588457308,3.595792698,0.804118724,2.172427097,3.869850471,4.101151524,10.2
