Player,Age,Ht,YearInLeague,CumulativeG,CumulativeMP,Cumulative2P,Cumulative2PA,Cumulative3P,Cumulative3PA,CumulativeFT,CumulativeFTA,CumulativeORB,CumulativeAST,CumulativeTOV,CumulativeOWS,Last2OWS
Iman Shumpert,0.218339152,-0.567975728,0.40023361,0.211870038,0.163353194,-0.285951842,-0.235618,0.302240222,0.371555002,-0.31026239,-0.316009073,-0.140776431,-0.059055249,-0.023672101,-0.174077191,-0.523481817
Isaiah Canaan,-0.021301381,-2.051084496,-0.060589736,-0.364655999,-0.419608099,-0.565845353,-0.536321538,0.169718985,0.193376728,-0.354160287,-0.387267466,-0.561712769,-0.327957666,-0.407003684,-0.179370079,-0.523481817
Isaiah Hicks,-0.74022298,0.618511286,-0.982236428,-0.966948564,-0.831147146,-0.688868314,-0.695134662,-0.64013302,-0.66279272,-0.631204795,-0.641220249,-0.647730195,-0.599158394,-0.732444374,-0.179370079,-0.71464801
Isaiah Taylor,-0.74022298,-1.161219235,-0.751824755,-0.796245324,-0.728628895,-0.615314903,-0.613124606,-0.595959274,-0.596090084,-0.545360018,-0.546461747,-0.623938141,-0.45130037,-0.626050302,-0.189955854,-0.632719642
Isaiah Thomas,0.457979686,-2.940949757,0.40023361,0.49852265,0.617721623,0.568048821,0.593594787,1.615182109,1.658093511,1.538326844,1.278966019,-0.184700223,1.25021606,1.004282386,-0.195248741,2.289392171
Isaiah Whitehead,-0.979863513,-0.864597482,-0.751824755,-0.738270639,-0.665379637,-0.583420061,-0.576675693,-0.519882268,-0.518422632,-0.541457983,-0.554800496,-0.600146087,-0.449002058,-0.497751568,-0.195248741,-1.206218222
Ish Smith,0.697620219,-2.051084496,0.630645283,0.540393256,0.114136056,0.172943331,0.265554563,-0.272018472,-0.209580291,-0.298556284,-0.254605564,-0.367716022,0.80281147,0.21571456,-0.205834517,0.241182957
Ivan Rabb,-1.45914458,0.91513304,-0.982236428,-0.908973879,-0.802245167,-0.653067981,-0.666170793,-0.645041214,-0.671016333,-0.614621145,-0.627575024,-0.569033401,-0.586900734,-0.702716618,-0.211127404,-0.277696711
Ivica Zubac,-1.45914458,1.804998301,-0.751824755,-0.764037165,-0.749572358,-0.587325552,-0.5997817,-0.645041214,-0.667361394,-0.573649774,-0.579058672,-0.508638188,-0.569280347,-0.669859625,-0.216420292,-0.35962508
J.J. Barea,1.656182351,-2.051084496,1.552291974,1.435780063,0.723381394,0.486684428,0.57829926,1.193077427,1.263360105,0.193100166,0.159299569,-0.245095436,1.646291699,1.04809171,-0.216420292,0.186564044
